name,time,RMSE_train,RMSE_test,MAE_train,MAE_test,NMSE_train,NMSE_test,r2_train,r2_test
results/F05128_stat,47,2.4182752756015608e-3,2.693951796128569e-3,2.039882013076934e-3,2.36637710648487e-3,2.9244464516060498e-2,7.006475602467731e-2,0.9707555354839396,0.9299352439753227
results/F05128_stat,45,2.4182752756015608e-3,2.693951796128569e-3,2.039882013076934e-3,2.36637710648487e-3,2.9244464516060498e-2,7.006475602467731e-2,0.9707555354839396,0.9299352439753227
results/F05128_stat,99,1.727954804245148e-3,5.108470665230598e-3,1.3009608614367788e-3,3.98785452924151e-3,1.49312772711333e-2,0.25194270090682375,0.9850687227288667,0.7480572990931762
results/F05128_stat,102,1.6745383065399854e-3,3.475259801847363e-3,1.188684952436988e-3,2.6964680292912413e-3,1.4022400787647209e-2,0.11659891978746506,0.9859775992123528,0.8834010802125349
results/F05128_stat,81,1.7026692893324974e-3,4.780743203208366e-3,1.2676519735330927e-3,3.7739762992770117e-3,1.4497489666899566e-2,0.22065349241676238,0.9855025103331004,0.7793465075832376
results/F05128_stat,64,2.4818075940609115e-3,3.0117621123303593e-3,1.8526001291442943e-3,2.120141321100692e-3,3.080125558413129e-2,8.757120068844186e-2,0.9691987444158687,0.9124287993115581
results/F05128_stat,55,2.1834995332196006e-3,4.4533984437899075e-3,1.5685533170121627e-3,3.047104000584414e-3,2.384176533382696e-2,0.19147103249185335,0.976158234666173,0.8085289675081466
results/F05128_stat,70,2.0006501801069923e-3,3.6379886109016387e-3,1.4780371920278467e-3,2.7500221809053415e-3,2.0015872102183446e-2,0.1277740449197945,0.9799841278978165,0.8722259550802055
results/F05128_stat,98,1.6730112206630654e-3,3.4149851079995058e-3,1.1967385507299147e-3,2.662182013065349e-3,1.399683714876277e-2,0.11258942507370995,0.9860031628512372,0.88741057492629
results/F05128_stat,80,1.7706930224901031e-3,4.480715542466069e-3,1.3512419141434536e-3,3.4997597925528388e-3,1.5679014223210663e-2,0.19382719930013964,0.9843209857767894,0.8061728006998604
