name,time,RMSE_train,RMSE_test,MAE_train,MAE_test,NMSE_train,NMSE_test,r2_train,r2_test,expr
results/energyCooling,56,1.5082561645018773,1.826574052451302,1.0554540051082746,1.2367455258672866,2.519270391523197e-2,3.6813763883135384e-2,0.974807296084768,0.9631862361168646,sin(x5*x7) + sin(x0*x2) + sqrt.abs(x1*x3*x4*x6*x7) + exp(x0*x6) + tan(x1*x4*x5*x7) + sqrt(x1) + sqrt(x0*x1*x2*x4*x5*x6*x7) + sqrt(x0*x1*x2*x3*x4) + cos(x4) + cos(x1*x2*x3*x5*x6*x7) + cos(x1*x2*x3*x4*x5*x7) + sqrt(x0*x4*x6) + tan(x2*x3*x4) + tan(x0*x1*x2*x4) + tan(x2*x4) + sin(x1*x4)
results/energyCooling,60,1.4906909344537362,1.8060129620929648,1.0231611961119822,1.226826497332547,2.4609329724512744e-2,3.598962990046139e-2,0.9753906702754872,0.9640103700995386,sin(x3*x4*x5*x7) + sqrt(x0*x2*x6) + tan(x1*x2*x3*x5*x7) + tan(x2*x3) + sin(x5*x7) + sin(x3*x5*x7) + sqrt(x2*x3*x6*x7) + cos(x1*x2) + sqrt(x1*x3*x5*x7) + id(x6*x7) + tan(x0*x1*x4) + sqrt(x1) + cos(x4*x6) + cos(x0*x5) + sqrt(x2*x4) + sin(x1*x4)
results/energyCooling,56,1.4924486720872858,1.8021638201144805,1.0172854494094574,1.1956853264044542,2.466739977368892e-2,3.5836384519588316e-2,0.9753326002263111,0.9641636154804116,id(x2*x3*x4*x5*x7) + sqrt.abs(x0*x2*x3*x6) + sqrt.abs(x0*x2*x6) + sin(x2*x3*x4) + tan(x2*x3) + sin(x0*x1*x3) + sqrt(x1*x2*x7) + tan(x1*x4*x5*x7) + cos(x3) + sin(x3*x5*x7) + tan(x0*x2*x3) + sqrt.abs(x4) + log(x0) + sqrt.abs(x1*x2*x4*x5*x6*x7) + cos(x0*x2*x4) + id(x0*x5*x6*x7)
results/energyCooling,71,1.505008137897872,1.805827574601033,1.0522983797673182,1.229833461122326,2.508431587374679e-2,3.598224159825033e-2,0.9749156841262532,0.9640177584017496,sin(x3*x5*x7) + sqrt(x1*x2*x4*x6*x7) + sin(x3) + cos(x1*x2*x3*x4*x5*x7) + sqrt.abs(x0*x2*x4*x5*x6*x7) + sqrt.abs(x1*x2*x4) + sqrt.abs(x0*x4*x6) + sin(x5*x7) + id(x2*x4) + sqrt(x0*x2*x3*x4*x5*x6*x7) + tan(x1*x2*x3*x4) + id(x5*x6*x7) + cos(x0*x3) + id(x0*x2*x3*x7) + sin(x0*x4) + sqrt(x1*x4)
results/energyCooling,60,1.472221109114475,1.7989036145701733,1.020230723930003,1.2392554426588598,2.4003282994503855e-2,3.5706842134034515e-2,0.9759967170054962,0.9642931578659655,cos(x1) + cos(x0*x5) + sqrt(x1*x2*x3*x4*x6*x7) + sqrt.abs(x1*x6) + exp(x0*x6) + sin(x5*x7) + tan(x2*x3*x4) + tan(x1*x4*x5*x7) + id(x0*x1*x2*x3*x4) + sin(x0) + sqrt.abs(x0*x3) + cos(x0*x4) + sin(x3*x5*x7) + cos(x2) + sqrt(x1*x2*x4*x6) + sqrt.abs(x0*x1*x5*x7)
results/energyCooling,75,1.492933578677641,1.8321664782842357,1.0669708241872837,1.2727525220398113,2.4683431585178345e-2,3.703953454138985e-2,0.9753165684148216,0.9629604654586101,sqrt(x0*x1) + sin(x2*x3*x5*x7) + sqrt.abs(x4*x7) + cos(x0*x5) + sin(x5*x7) + sqrt(x6) + log(x4) + sin(x2*x4) + cos(x1*x2*x4) + id(x0*x2*x3*x4*x5*x7) + sqrt(x0*x1*x3*x4*x6*x7) + exp(x0) + sqrt(x0*x4) + sqrt(x0*x1*x2*x3*x4*x6) + sqrt.abs(x0*x1*x3*x6) + cos(x2)
results/energyCooling,71,1.5994282580992565,1.5031244185813117,1.1108745549236718,1.016595336402387,2.831359310853096e-2,2.50938924702161e-2,0.971686406891469,0.9749061075297839,tan(x3*x6) + sqrt(x1*x2*x4*x6) + sqrt.abs(x2*x4*x6) + sqrt(x0*x2*x3*x4*x5*x6*x7) + tan(x0*x3*x4) + tan(x2*x3*x4) + sqrt(x0) + sqrt.abs(x1*x2) + tan(x3*x5) + sin(x5*x7) + sqrt(x0*x1*x4) + id(x1*x2*x4*x6*x7) + id(x0*x4*x5*x6*x7) + tan(x0*x2*x3*x4) + cos(x0*x2*x4) + tanh(x4)
results/energyCooling,60,1.5924712171161381,1.4745048147282698,1.1249873914270012,0.9945435371601583,2.8067817248624737e-2,2.4147410358888913e-2,0.9719321827513753,0.9758525896411111,sqrt(x0*x1*x3*x4*x5*x6*x7) + sqrt.abs(x0*x7) + sqrt(x0*x2*x4*x6) + cos(x0*x5) + sqrt.abs(x2*x3*x4*x5*x6*x7) + log(x2*x3) + tan(x1*x4*x5*x7) + sin(x5*x7) + sin(x0*x2) + id(x5*x6*x7) + sqrt.abs(x1*x2*x5*x7) + id(x0*x1*x3*x5*x6*x7) + cos(x2) + sin(x0*x4) + sin(x0*x2*x3) + sin(x1*x4)
results/energyCooling,65,1.5918538150054133,1.5635066944742932,1.1038710582490858,1.0169507012050905,2.8046057646103583e-2,2.715048942437485e-2,0.9719539423538964,0.9728495105756252,sqrt.abs(x0*x1*x2*x4) + tan(x1*x4) + id(x0*x1*x2*x3*x4*x6*x7) + tan(x0*x2*x3*x4*x5*x7) + sin(x1*x4) + sqrt.abs(x0*x1*x2) + id(x0*x5*x6*x7) + sqrt.abs(x0*x2*x4*x6) + sqrt(x1*x3*x4*x5*x6*x7) + tan(x2*x3) + cos(x0*x3*x7) + tan(x0*x2*x4*x5*x7) + sqrt.abs(x0*x2) + cos(x2*x4) + sqrt.abs(x2)
results/energyCooling,62,1.59718555843626,1.5183879254282802,1.1247905095024595,1.026021276543019,2.8234246796243874e-2,2.5606112870531897e-2,0.9717657532037561,0.9743938871294681,cos(x1) + id(x1*x3*x4*x5*x7) + sqrt.abs(x1*x4) + tan(x0*x2*x3*x4*x5*x7) + id(x0*x2*x4) + sin(x5*x7) + cos(x4*x6) + sqrt.abs(x0*x1*x2*x4*x6) + sqrt.abs(x0*x1*x2*x3*x4) + sin(x0) + sqrt(x0*x1*x4) + sqrt.abs(x0*x1*x2*x4) + sin(x2) + sqrt.abs(x0*x1*x6*x7) + tan(x0*x3*x4) + sqrt.abs(x1*x3*x4*x6*x7)
